0.6|1|Wanderer|1|5|10|0|2.00|1.50|0.50|21.0|14.9|303.5|0.00|200.00|100.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.6|2|Brutus|1|7|5|3|1.50|1.00|0.80|17.6|4.2|283.5|0.00|240.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.6|4|PunyAss|1|3|8|4|1.80|1.30|0.90|3.0|15.1|4.0|0.00|160.00|180.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.7|3|Magus|1|2|4|9|1.40|0.90|1.40|5.9|3.9|303.7|0.00|140.00|280.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.7|0|Tutorius|1|5|7|3|1.70|1.20|0.80|12.5|22.0|6.0|0.00|200.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.7|1|Wanderer|1|5|10|0|2.00|1.50|0.50|20.8|14.8|303.5|0.00|200.00|100.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.7|2|Brutus|1|7|5|3|1.50|1.00|0.80|17.5|4.2|283.5|0.00|240.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.7|4|PunyAss|1|3|8|4|1.80|1.30|0.90|3.0|15.1|6.0|0.00|160.00|180.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.8|3|Magus|1|2|4|9|1.40|0.90|1.40|5.8|3.9|303.7|0.00|140.00|280.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.8|0|Tutorius|1|5|7|3|1.70|1.20|0.80|12.5|21.8|6.0|0.00|200.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.8|1|Wanderer|1|5|10|0|2.00|1.50|0.50|20.7|14.7|303.5|0.00|200.00|100.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.8|2|Brutus|1|7|5|3|1.50|1.00|0.80|17.4|4.2|283.5|0.00|240.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.8|4|PunyAss|1|3|8|4|1.80|1.30|0.90|3.0|14.9|6.0|0.00|160.00|180.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.9|3|Magus|1|2|4|9|1.40|0.90|1.40|5.7|3.8|303.7|0.00|140.00|280.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.9|0|Tutorius|1|5|7|3|1.70|1.20|0.80|12.5|21.8|8.0|0.00|200.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.9|1|Wanderer|1|5|10|0|2.00|1.50|0.50|20.5|14.6|303.5|0.00|200.00|100.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.9|2|Brutus|1|7|5|3|1.50|1.00|0.80|17.2|4.1|283.5|0.00|240.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
0.9|4|PunyAss|1|3|8|4|1.80|1.30|0.90|3.0|14.9|8.0|0.00|160.00|180.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.0|3|Magus|1|2|4|9|1.40|0.90|1.40|5.6|3.7|303.7|0.00|140.00|280.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.0|0|Tutorius|1|5|7|3|1.70|1.20|0.80|12.6|21.7|8.0|0.00|200.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.0|1|Wanderer|1|5|10|0|2.00|1.50|0.50|20.3|14.5|303.5|0.00|200.00|100.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.0|2|Brutus|1|7|5|3|1.50|1.00|0.80|17.1|4.1|283.5|0.00|240.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.0|4|PunyAss|1|3|8|4|1.80|1.30|0.90|3.1|14.7|8.0|0.00|160.00|180.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.1|3|Magus|1|2|4|9|1.40|0.90|1.40|5.5|3.6|303.7|0.00|140.00|280.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.1|0|Tutorius|1|5|7|3|1.70|1.20|0.80|12.6|21.7|10.0|0.00|200.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.1|1|Wanderer|1|5|10|0|2.00|1.50|0.50|20.2|14.4|303.5|0.00|200.00|100.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.1|2|Brutus|1|7|5|3|1.50|1.00|0.80|16.9|4.1|283.5|0.00|240.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.1|4|PunyAss|1|3|8|4|1.80|1.30|0.90|3.1|14.7|10.0|0.00|160.00|180.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.2|3|Magus|1|2|4|9|1.40|0.90|1.40|5.3|3.6|303.7|0.00|140.00|280.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.2|0|Tutorius|1|5|7|3|1.70|1.20|0.80|12.6|21.5|10.0|0.00|200.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.2|1|Wanderer|1|5|10|0|2.00|1.50|0.50|20.0|14.3|303.5|0.00|200.00|100.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.2|2|Brutus|1|7|5|3|1.50|1.00|0.80|16.8|4.0|283.5|0.00|240.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.2|4|PunyAss|1|3|8|4|1.80|1.30|0.90|3.1|14.5|10.0|0.00|160.00|180.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.3|3|Magus|1|2|4|9|1.40|0.90|1.40|5.2|3.5|303.7|0.00|140.00|280.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.3|0|Tutorius|1|5|7|3|1.70|1.20|0.80|12.6|21.5|12.0|0.00|200.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.3|1|Wanderer|1|5|10|0|2.00|1.50|0.50|19.8|14.2|303.5|0.00|200.00|100.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.3|2|Brutus|1|7|5|3|1.50|1.00|0.80|16.6|4.0|283.5|0.00|240.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.3|4|PunyAss|1|3|8|4|1.80|1.30|0.90|3.1|14.5|12.0|0.00|160.00|180.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.4|3|Magus|1|2|4|9|1.40|0.90|1.40|5.1|3.4|303.7|0.00|140.00|280.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.4|0|Tutorius|1|5|7|3|1.70|1.20|0.80|12.6|21.3|12.0|0.00|200.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.4|1|Wanderer|1|5|10|0|2.00|1.50|0.50|19.7|14.0|303.5|0.00|200.00|100.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.4|2|Brutus|1|7|5|3|1.50|1.00|0.80|16.5|4.0|283.5|0.00|240.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.4|4|PunyAss|1|3|8|4|1.80|1.30|0.90|3.1|14.3|12.0|0.00|160.00|180.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.5|3|Magus|1|2|4|9|1.40|0.90|1.40|5.0|3.3|303.7|0.00|140.00|280.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.5|0|Tutorius|1|5|7|3|1.70|1.20|0.80|12.6|21.3|14.0|0.00|200.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.5|1|Wanderer|1|5|10|0|2.00|1.50|0.50|19.5|13.9|303.5|0.00|200.00|100.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.5|2|Brutus|1|7|5|3|1.50|1.00|0.80|16.3|3.9|283.5|0.00|240.00|160.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.5|4|PunyAss|1|3|8|4|1.80|1.30|0.90|3.1|14.3|14.0|0.00|160.00|180.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
1.6|3|Magus|1|2|4|9|1.40|0.90|1.40|4.9|3.2|303.7|0.00|140.00|280.00|[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0],[0.00,0.0]|8
